"*2361.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2361.00.0000","2361","2361","","","","","","","","RIVERBEND","RVRBND","83","82","99 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2362.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2362.00.0000","2362","2362","","","","","","","","RIVERBEND","RVRBND","81","81","100 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2363.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2363.00.0000","2363","2363","","","","","","","","RIVERBEND","RVRBND","85","83","98 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2364.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2364.00.0000","2364","2364","","","","","","","","RIVERBEND","RVRBND","88","88","100 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2365.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2365.00.0000","2365","2365","","","","","","","","RIVERBEND","RVRBND","82","62","76 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2366.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2366.00.0000","2366","2366","","","","","","","","RIVERBEND","RVRBND","113","113","100 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2367.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2367.00.0000","2367","2367","","","","","","","","RIVERBEND","RVRBND","80","75","94 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2368.00.0000*","","","6/20/2011","20-Jun-2011","11:00:00","","1019","14","1019 days","10","7/11/2011","2","2368.00.0000","2368","2368","","","","","","","","RIVERBEND","RVRBND","73","73","100 %","","","","","","","","","","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2369.00.0000*","","","6/22/2011","22-Jun-2011","10:30:00","","1017","12","1017 days","10","7/13/2011","2","2369.00.0000","2369","2369","","","","","","","","RABBIT SLOUGH","RS","110","110","100 %","","","","","","","","","NOT PRESENTmultiple males used. ","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2370.00.0000*","","","6/22/2011","22-Jun-2011","10:30:00","","1017","12","1017 days","10","7/13/2011","2","2370.00.0000","2370","2370","","","","","","","","RABBIT SLOUGH","RS","95","95","100 %","","","","","","","","","NOT PRESENTmultiple males used from wild caught testes. ","0","RABBIT SLOUGH ix","RS ix","[indv-dead]","","","","[indv-dead]","stock - Rabbit Slough","100 %","100 %","",""
"*2371.00.0000*","","","6/22/2011","22-Jun-2011","10:30:00","","1017","12","1017 days","10","7/13/2011","2","2371.00.0000","2371","2371","","","","","","","","BEAR PAW LAKE","BP","70","67","96 %","","","","","","","","","NOT PRESENTmultiple males used. ","0","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","stock - bear paw","100 %","100 %","",""
"*2372.00.0000*","","","6/22/2011","22-Jun-2011","10:30:00","","1017","12","1017 days","10","7/13/2011","2","2372.00.0000","2372","2372","","","","","","","","BOOT LAKE","BT","60","57","95 %","","","","","","","","","NOT PRESENTmultiple males used. ","0","BOOT LAKE ix","BT ix","[indv-dead]","","","","[indv-dead]","stock - Boot","100 %","100 %","",""
"*2373.00.0000*","","","6/22/2011","22-Jun-2011","10:30:00","","1017","12","1017 days","10","7/13/2011","2","2373.00.0000","2373","2373","","","","","","","","BOOT LAKE","BT","115","115","100 %","","","","","","","","","multiple males used. ","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2374.00.0000*","","","6/24/2011","24-Jun-2011","14:30:00","","1015","10","1015 days","10","7/15/2011","2","2374.00.0000","2374","2374","","","","","","","","BEAR PAW LAKE","BP","50","50","100 %","","","","","","","","","NOT PRESENTmultpile wild males used in this cross","0","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","stock - bear paw","100 %","100 %","",""
"*2375.00.0000*","","","6/24/2011","24-Jun-2011","14:30:00","","1015","10","1015 days","10","7/15/2011","2","2375.00.0000","2375","2375","","","","","","","","BEAR PAW LAKE","BP","50","50","100 %","","","","","","","","","NOT PRESENTmultiple wild males used ","0","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","stock - bear paw","100 %","100 %","",""
"*2376.00.0000*","","","6/27/2011","27-Jun-2011","10:30:00","","1012","7","1012 days","10","7/18/2011","2","2376.00.0000","2376","2376","","","","","","","","RABBIT SLOUGH","RS","176","171","97 %","","","","","","","","","NOT PRESENTmultiple wc males and stock females used. ","0","RABBIT SLOUGH ix","RS ix","[indv-dead]","","","","[indv-dead]","stock - Rabbit Slough","100 %","100 %","",""
"*2377.00.0000*","","","6/27/2011","27-Jun-2011","10:30:00","","1012","7","1012 days","10","7/18/2011","2","2377.00.0000","2377","2377","","","","","","","","RABBIT SLOUGH","RS","100","73","73 %","","","","","","","","","NOT PRESENTmultiple wc males and stock females used. ","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2378.00.0000*","","","6/27/2011","27-Jun-2011","10:30:00","","1012","7","1012 days","10","7/18/2011","2","2378.00.0000","2378","2378","","","","","","","","BEAR PAW LAKE","BP","56","53","95 %","","","","","","","","","NOT PRESENTmultiple wc males and stock females used. ","0","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","stock - Bear Paw","100 %","100 %","",""
"*2379.00.0000*","","","6/27/2011","27-Jun-2011","10:30:00","","1012","7","1012 days","10","7/18/2011","2","2379.00.0000","2379","2379","","","","","","","","BEAR PAW LAKE","BP","120","100","83 %","","","","","","","","","NOT PRESENTmultiple wc males and stock females used. ","0","BEAR PAW LAKE ix","BP ix","error","","","","error","stock - Bear Paw","100 %","100 %","",""
"*2380.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2380.00.0000","2380","2380","","","","","","","Capture Details","MIDDLETON ISLAND SITE 17","MDO SITE 17","50","","0 %","","","","","","","","","NOT PRESENTOffers collections 2005","","MIDDLETON ISLAND SITE 17 ix","MDO SITE 17 ix","error","","","","error","wc - mdo #17","","","",""
"*2381.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2381.00.0000","2381","2381","","","","","","","Capture Details","MIDDLETON ISLAND SITE 23","MDO SITE 23","50","","0 %","","","","","","","","","NOT PRESENTOffers collections 2005","","MIDDLETON ISLAND SITE 23 ix","MDO SITE 23 ix","error","","","","error","Middleton site 23","","","",""
"*2382.00.0000*","","","","","","","","","wild-caught","","","","2382.00.0000","2382","2382","","","","","","","Capture Details","MIDDLETON ISLAND #28","MDO 28","50","","0 %","","","","","","","","","NOT PRESENTEmily's collection 2011","","MIDDLETON ISLAND #28 ix","MDO 28 ix","error","","","","error","Middleton #28","","","",""
"*2383.00.0000*","","","","","","","","","wild-caught","","","","2383.00.0000","2383","2383","","","","","","","Capture Details","MIDDLETON ISLAND #29","MDO 29","50","","0 %","","","","","","","","","","","MIDDLETON ISLAND #29 ix","MDO 29 ix","error","","","","error","middleton # 29","","","",""
"*2384.00.0000*","","","","","","","","","wild-caught","","","","2384.00.0000","2384","2384","","","","","","","Capture Details","MIDDLETON ISLAND SITE 30","MDO 30","50","","0 %","","","","","","","","","NOT PRESENTEmily's collection 2011","","MIDDLETON ISLAND SITE 30 ix","MDO 30 ix","error","","","","error","middleton site 30","","","",""
"*2385.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2385.00.0000","2385","2385","","","","","","","Capture Details","RIVERBEND","RVRBND","500","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #74 17-197 Box #75 198-377Box #76 378-503Unindividualized in Sink CabinetSection #18","","RIVERBEND ix","RVRBND ix","[indv-dead]","","","","[indv-dead]","wc - riverbend","","","",""
"*2386.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2386.00.0000","2386","2386","","","","","","","","RIVERBEND","RVRBND","53","53","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2387.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2387.00.0000","2387","2387","","","","","","","","RIVERBEND","RVRBND","85","85","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2388.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2388.00.0000","2388","2388","","","","","","","","RIVERBEND","RVRBND","103","103","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2389.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2389.00.0000","2389","2389","","","","","","","","RIVERBEND","RVRBND","106","106","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2390.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2390.00.0000","2390","2390","","","","","","","","RIVERBEND","RVRBND","102","102","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","[indv-dead]","","","","[indv-dead]","F1 - riverbend","100 %","100 %","",""
"*2391.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2391.00.0000","2391","2391","","","","","","","","RIVERBEND","RVRBND","58","58","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2392.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2392.00.0000","2392","2392","","","","","","","","RIVERBEND","RVRBND","114","114","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2393.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2393.00.0000","2393","2393","","","","","","","","RIVERBEND","RVRBND","98","98","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2394.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2394.00.0000","2394","2394","","","","","","","","RIVERBEND","RVRBND","52","52","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2395.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2395.00.0000","2395","2395","","","","","","","","RIVERBEND","RVRBND","55","55","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2396.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2396.00.0000","2396","2396","","","","","","","","RIVERBEND","RVRBND","61","61","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2397.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2397.00.0000","2397","2397","","","","","","","","RIVERBEND","RVRBND","72","72","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2398.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2398.00.0000","2398","2398","","","","","","","","RIVERBEND","RVRBND","72","72","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2399.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2399.00.0000","2399","2399","","","","","","","","RIVERBEND","RVRBND","69","69","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2400.00.0000*","","","7/6/2011","6-Jul-2011","11:00:00","","1003","28","1003 days","9","7/27/2011","2","2400.00.0000","2400","2400","","","","","","","","RIVERBEND","RVRBND","43","43","100 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","F1 - riverbend","100 %","100 %","",""
"*2401.00.0000*","","","7/8/2011","8-Jul-2011","10:05:00","","1001","26","1001 days","9","7/29/2011","2","2401.00.0000","2401","2401","","","","","","","","RABBIT SLOUGH","RS","100","100","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2402.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2402.00.0000","2402","2402","","","","","","","Capture Details","MIDDLETON ISLAND SITE 13","MIDL ISL SITE 13","50","","0 %","","","","","","","","","NOT PRESENTcollected 6/2011 by EL","","MIDDLETON ISLAND SITE 13 ix","MIDL ISL SITE 13 ix","error","","","","error","MDO #13","","","",""
"*2403.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2403.00.0000","2403","2403","","","","","","","Capture Details","MIDDLETON ISLAND SITE 14","WC MDO SITE 14","50","","0 %","","","","","","","","","NOT PRESENTcollected 6/2011 by EL","","MIDDLETON ISLAND SITE 14 ix","WC MDO SITE 14 ix","error","","","","error","MDO #14","","","",""
"*2404.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2404.00.0000","2404","2404","","","","","","","Capture Details","MIDDLETON ISLAND SITE 22","MDO SITE 22","50","","0 %","","","","","","","","","NOT PRESENTcollected 6/2011 by EL","","MIDDLETON ISLAND SITE 22 ix","MDO SITE 22 ix","error","","","","error","MDO #22","","","",""
"*2405.00.0000*","","","7/19/2011","19-Jul-2011","11:45:00","","990","15","990 days","9","8/9/2011","2","2405.00.0000","2405","2405","","","","","","","","BEAR PAW LAKE","BP","50","50","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE ix","BP ix","error","","","","error","stock - Bear Paw","100 %","100 %","",""
"*2406.00.0000*","","","7/21/2011","21-Jul-2011","10:15:00","","988","13","988 days","9","8/11/2011","2","2406.00.0000","2406","2406","","","","","","","","BOOT LAKE","BT","50","50","100 %","","","","","","","","","NOT PRESENT","1","BOOT LAKE ix","BT ix","error","","","","error","inbred - boot","100 %","100 %","",""
"*2407.00.0000*","","","7/21/2011","21-Jul-2011","10:30:00","","988","13","988 days","9","8/11/2011","2","2407.00.0000","2407","2407","","","","","","","","RABBIT SLOUGH","RS","50","39","78 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2409.00.0000*","","","","","","","","","wild-caught","","","","2409.00.0000","2409","2409","","","","","","","Capture Details","MONTAGUE #35 ONE ROCK POND","MONT #35","50","","0 %","","","","","","","","","NOT PRESENT","","MONTAGUE #35 ONE ROCK POND ix","MONT #35 ix","error","","","","error","Mont - #35","","","",""
"*2410.00.0000*","","","","","","","","","wild-caught","","","","2410.00.0000","2410","2410","","","","","","","Capture Details","MONTAGUE #36 TWO ROCK POND","MONT #36","50","","0 %","","","","","","","","","NOT PRESENT","","MONTAGUE #36 TWO ROCK POND ix","MONT #36 ix","error","","","","error","Mont #36","","","",""
"*2411.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2411.00.0000","2411","2411","","","","","","","Capture Details","MONTAGUE ISLAND SITE 25","MONT 25","50","","0 %","","","","","","","","","NOT PRESENTCollected summer 2011 by Emily Lescak","","MONTAGUE ISLAND SITE 25 ix","MONT 25 ix","error","","","","error","Mont Site #25","","","",""
"*2412.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2412.00.0000","2412","2412","","","","","","","Capture Details","RIVERBEND","RVRBND","12","","0 %","","","","","","","","","NOT PRESENTStock # 2412.00.0000, collected 8/3/11 by J Catchen and M Currey. ","","RIVERBEND ix","RVRBND ix","[indv-dead]","","","","[indv-dead]","wc riverbend","","","",""
"*2413.00.0000*","","","8/3/2011","3-Aug-2011","11:00:00","","975","1","975 days","8","8/24/2011","2","2413.00.0000","2413","2413","","","","","","","","RIVERBEND","RVRBND","105","99","94 %","","","","","","","","","NOT PRESENTF1 phenoytpe mapping cross","0","RIVERBEND ix","RVRBND ix","error","","","","error","stock - riverbend","100 %","100 %","",""
"*2414.00.0000*","","","8/3/2011","3-Aug-2011","11:00:00","","975","1","975 days","8","8/24/2011","2","2414.00.0000","2414","2414","","","","","","","","RIVERBEND","RVRBND","75","73","97 %","","","","","","","","","NOT PRESENT","0","RIVERBEND ix","RVRBND ix","error","","","","error","stock - riverbend","100 %","100 %","",""
"*2415.00.0000*","","","8/8/2011","8-Aug-2011","10:20:00","","970","26","970 days","8","8/29/2011","2","2415.00.0000","2415","2415","","","","","","","","RABBIT SLOUGH","RS","159","47","30 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2416.00.0000*","","","8/8/2011","8-Aug-2011","10:30:00","","970","26","970 days","8","8/29/2011","2","2416.00.0000","2416","2416","","","","","","","","BOOT LAKE","BT","132","88","67 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot Lake","100 %","100 %","",""
"*2417.00.0000*","","","8/8/2011","8-Aug-2011","10:30:00","","970","26","970 days","8","8/29/2011","2","2417.00.0000","2417","2417","","","","","","","","BOOT LAKE","BT","120","48","40 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot Lake","100 %","100 %","",""
"*2418.00.0000*","","","8/8/2011","8-Aug-2011","10:30:00","","970","26","970 days","8","8/29/2011","2","2418.00.0000","2418","2418","","","","","","","","BOOT LAKE","BT","60","39","65 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot Lake","100 %","100 %","",""
"*2419.00.0000*","","","8/10/2011","10-Aug-2011","11:00:00","","968","24","968 days","8","8/31/2011","2","2419.00.0000","2419","2419","","","","","","","","EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON","EEL CREEK OREGON/TENMILE CREEK","90","88","98 %","","","","","","","","","NOT PRESENT","0","EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON ix","EEL CREEK OREGON/TENMILE CREEK ix","error","","","","error","eel creek - osx gfp","100 %","100 %","",""
"*2420.00.0000*","","","8/10/2011","10-Aug-2011","11:00:00","","968","24","968 days","8","8/31/2011","2","2420.00.0000","2420","2420","","","","","","","","EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON","EEL CREEK OREGON/TENMILE CREEK","80","62","78 %","","","","","","","","","NOT PRESENT","0","EEL CREEK, LAKESIDE OREGON/TENMILE CREEK, LAKESIDE OREGON ix","EEL CREEK OREGON/TENMILE CREEK ix","[indv-dead]","","","","[indv-dead]","Eel Creek - GFP pos OSX ","100 %","100 %","",""
"*2421.00.0000*","","","8/15/2011","15-Aug-2011","10:45:00","","963","19","963 days","8","9/5/2011","2","2421.00.0000","2421","2421","","","","","","","","BOOT LAKE","BT","50","50","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2422.00.0000*","","","8/15/2011","15-Aug-2011","10:45:00","","963","19","963 days","8","9/5/2011","2","2422.00.0000","2422","2422","","","","","","","","BOOT LAKE","BT","50","50","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2423.00.0000*","","","8/18/2011","18-Aug-2011","10:30:00","","960","16","960 days","8","9/8/2011","2","2423.00.0000","2423","2423","","","","","","","","RABBIT SLOUGH","RS","75","24","32 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2424.00.0000*","","","8/18/2011","18-Aug-2011","10:30:00","","960","16","960 days","8","9/8/2011","2","2424.00.0000","2424","2424","","","","","","","","BOOT LAKE","BT","120","120","100 %","","","","","","","","","","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2425.00.0000*","","","8/18/2011","18-Aug-2011","10:30:00","","960","16","960 days","8","9/8/2011","2","2425.00.0000","2425","2425","","","","","","","","BOOT LAKE","BT","160","160","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","[indv-dead]","","","","[indv-dead]","stock - Boot","100 %","100 %","",""
"*2426.00.0000*","","","9/6/2011","6-Sep-2011","11:30:00","","941","28","941 days","7","9/27/2011","2","2426.00.0000","2426","2426","","","","","","","","BOOT LAKE","BT","170","170","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2427.00.0000*","","","9/13/2011","13-Sep-2011","9:50:00","","934","21","934 days","7","10/4/2011","2","2427.00.0000","2427","2427","","","","","","","","RABBIT SLOUGH","RS","48","39","81 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2428.00.0000*","","","9/13/2011","13-Sep-2011","9:50:00","","934","21","934 days","7","10/4/2011","2","2428.00.0000","2428","2428","","","","","","","","RABBIT SLOUGH","RS","123","53","43 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2429.00.0000*","","","9/13/2011","13-Sep-2011","9:50:00","","934","21","934 days","7","10/4/2011","2","2429.00.0000","2429","2429","","","","","","","","BOOT LAKE","BT","129","125","97 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","[stck-dead]  [indv-dead]","","[stck-dead]","","[indv-dead]","stock - Boot","100 %","100 %","",""
"*2430.00.0000*","","","9/13/2011","13-Sep-2011","9:50:00","","934","21","934 days","7","10/4/2011","2","2430.00.0000","2430","2430","","","","","","","","BOOT LAKE","BT","73","71","97 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2431.00.0000*","","","9/13/2011","13-Sep-2011","9:50:00","","934","21","934 days","7","10/4/2011","2","2431.00.0000","2431","2431","","","","","","","","BOOT LAKE","BT","122","121","99 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2432.00.0000*","","","9/16/2011","16-Sep-2011","11:45:00","","931","18","931 days","7","10/7/2011","2","2432.00.0000","2432","2432","","","","","","","","RABBIT SLOUGH","RS","88","88","100 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2433.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2433.00.0000","2433","2433","","","","","","","Capture Details","RABBIT SLOUGH","RS","150","","0 %","","","","","","","","","NOT PRESENT","","RABBIT SLOUGH ix","RS ix","[stck-dead]  error","","[stck-dead]","","error","wild caught","","","",""
"*2434.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2434.00.0000","2434","2434","","","","","","","Capture Details","WALLACE LAKE","WALLACE LAKE","122","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #77collected, 10/2/2009 E Lescak","","WALLACE LAKE ix","WALLACE LAKE ix","error","","","","error","wc - wallace lake","","","",""
"*2435.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2435.00.0000","2435","2435","","","","","","","Capture Details","WALLACE LAKE","WALLACE LAKE","33","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #77collected, 9/1/2009 E Lescak","","WALLACE LAKE ix","WALLACE LAKE ix","[indv-dead]","","","","[indv-dead]","wc - wallace lake","","","",""
"*2436.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2436.00.0000","2436","2436","","","","","","","Capture Details","WALLACE LAKE","WALLACE LAKE","55","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #78collected, 9/1/2009 E Lescak PS2","","WALLACE LAKE ix","WALLACE LAKE ix","[indv-dead]","","","","[indv-dead]","wc - wallace lake","","","",""
"*2437.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2437.00.0000","2437","2437","","","","","","","Capture Details","WALLACE LAKE","WALLACE LAKE","19","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #78collected, 9/1/2009 E Lescak PS6","","WALLACE LAKE ix","WALLACE LAKE ix","[indv-dead]","","","","[indv-dead]","wc - wallace lake","","","",""
"*2438.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2438.00.0000","2438","2438","","","","","","","Capture Details","WALLACE LAKE","WALLACE LAKE","12","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #78collected, 9/1/2009 E Lescak PS8","","WALLACE LAKE ix","WALLACE LAKE ix","[indv-dead]","","","","[indv-dead]","wc - wallace","","","",""
"*2439.00.0000*","","","","wild-caught","","","","","wild-caught","","","","2439.00.0000","2439","2439","","","","","","","Capture Details","WALLACE LAKE","WALLACE LAKE","99","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #78collected, 6/13/2009 E Lescak","","WALLACE LAKE ix","WALLACE LAKE ix","error","","","","error","wc - wallace lake","","","",""
"*2440.00.0000*","","","10/28/2011","28-Oct-2011","9:40:00","","889","6","889 days","6","11/18/2011","2","2440.00.0000","2440","2440","","","","","","","","BOOT LAKE","BT","142","142","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","error","","","","error","stock - Boot","100 %","100 %","",""
"*2441.00.0000*","","","10/28/2011","28-Oct-2011","9:40:00","","889","6","889 days","6","11/18/2011","2","2441.00.0000","2441","2441","","","","","","","","BOOT LAKE","BT","117","117","100 %","","","","","","","","","NOT PRESENT","0","BOOT LAKE ix","BT ix","[indv-dead]","","","","[indv-dead]","stock - Boot","100 %","100 %","",""
"*2442.00.0000*","","","11/9/2011","9-Nov-2011","14:17:00","","877","25","877 days","5","11/30/2011","2","2442.00.0000","2442","2442","","","","","","","","RABBIT SLOUGH","RS","100","53","53 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
"*2443.00.0000*","","","11/9/2011","9-Nov-2011","14:17:00","","877","25","877 days","5","11/30/2011","2","2443.00.0000","2443","2443","","","","","","","","RABBIT SLOUGH","RS","100","30","30 %","","","","","","","","","NOT PRESENT","0","RABBIT SLOUGH ix","RS ix","error","","","","error","stock - Rabbit Slough","100 %","100 %","",""
