sbGeneticsConstant::captureDate,sbGeneticsConstant::identification,sbGeneticsConstant::materialTransferAgreement,sbGeneticsConstant::mutantAllele,sbGeneticsConstant::phenotype,sbGeneticsConstant::researcherCommentsGenetics,sbGeneticsConstant::researcherInitials,sbGeneticsConstant::source,sbGeneticsConstant::species,sbGeneticsConstant::transgenes
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,stock-inbreeding; Bear Paw,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,complement; Boot by Whale,,,,,,,
07/20/2002,stock - Rabbit Slough,,,,,,wild;  Rabbit Slough,Gasterosteus aculeatus
07/20/2002,stock - Bear Paw Lake,,,,,,wild;  Bear Paw Lake,Gasterosteus aculeatus
07/20/2002,stock - Boot Lake,,,,,,wild;  Boot Lake,Gasterosteus aculeatus
07/20/2002,stock - Whale Lake,,,,,,wild;  Whale Lake,Gasterosteus aculeatus
07/20/2002,stock - Bolo Lake,,,,,,wild; Bolo Lake,Gasterosteus aculeatus
07/20/2002,stock - Florence Lake,,,,,,wild; Florence Lake,Gasterosteus aculeatus
07/30/2002,stock - Millrace South,,,,,,wild; Mill Race: South of Willamette,Gasterosteus aculeatus
07/30/2002,stock - Millrace North,,,,,,wild; Mill Race: North of Willamette,Gasterosteus aculeatus
08/01/2002,stock - South Slough,,,,,,wild; South Slough: Winchester Creek,Gasterosteus aculeatus
,stock - Rabbit Slough,,,,These are the offspring of a rabbit slough by RS cross that was the first attempt at GbyE experiment,,,Gasterosteus aculeatus
10/20/2002,Wild Caught - Cushman Creek,,,,Chuck caught these fish with Rebecca,,Wild; Cushman Creek,Gasterosteus aculeatus
,GFP threespine,,,,"These were injected with alpha-actin GFP, zebrafish promoter",,,Gasterosteus aculeatus
,stock - ? Oregon,,,,"These were extra fish from Oregon, but I don't know where they're from.....",,,
,South Slough Full Plate,,,,These are fish separated into classes from collection 240,,wild; South Slough-Full,Gasterosteus aculeatus
,South Slough Low Plate,,,,These are fish separated into classes from collection 240,,wild; South Slough: Winchester Creek,Gasterosteus aculeatus
,South Slough Partial Plate,,,,These are fish grouped from collection 240,,wild; South Slough: Winchester Creek,Gasterosteus aculeatus
,South Slough Partial/Full Plate,,,,Fish grouped from collection 240,,wild; South Slough: Winchester Creek,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,"This is the combined family of crosses 88, 108, 126",,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,"This is the combined family of crosses 115, 138, 168, 189",,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,"This the combined family of crosses 121, 185",,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,"This is the combined family of crosses 122, 148, 173",,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,"This is the combined family of 129, 143",,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,"This is the combined family of 130, 147",,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,"This is the combined family of 132, 184",,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,"This is the combined family of crosses 134, 182",,,Gasterosteus aculeatus
,F2 QTL; Whale by RS,,,,"This is the combined family of crosses 153, 202",,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,"This is the combined family of crosses 160, 174",,,Gasterosteus aculeatus
,F2 QTL; Bear Paw by RS,,,,"This is the combined family of crosses 101, 128",,,Gasterosteus aculeatus
,F2 QTL Back; Bear Paw by RS,,,,"This is the combined family of crosses 156, 171",,,Gasterosteus aculeatus
,F2 QTL Back; Boot by RS,,,,"This is the combined family from crosses 172, 190",,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,"This is pooling outcrossed fish from Bear Paw collections and crosses 85, 99, 135, 98, 117, 125, 116, 212, 191, 179",,,Gasterosteus aculeatus
,stock - Boot Lake,,,,"This is pooled outcrossed fish from Boot Lake collections and crosses 164, 180, 192, 162, 194, 109, 131, 107, 100, 188, 141",,,Gasterosteus aculeatus
